Onderwerpen, Totale oppervlakte, Agrarisch terrein
Regio's, Perioden, ha, ha
Culemborg, 2012, 3114, 1849
Culemborg, 2015, 3114, 1839
Dalfsen, 1996, 13230, 10686
Dalfsen, 2000, 13898, 11249
Dalfsen, 2003, 16650, 13615
Dalfsen, 2006, 16650, 13566
Dalfsen, 2008, 16650, 13560
Dalfsen, 2010, 16650, 13512
Dalfsen, 2012, 16652, 13471
Dalfsen, 2015, 16652, 13430
Dantumadiel, 1996, NaN, NaN
Dantumadiel, 2000, NaN, NaN
Dantumadiel, 2003, NaN, NaN
Dantumadiel, 2006, NaN, NaN
Dantumadiel, 2008, NaN, NaN
Dantumadiel, 2010, 8749, 7111
Dantumadiel, 2012, 8753, 7082
Dantumadiel, 2015, 8753, 7049
Delft, 1996, 2631, 767
Delft, 2000, 2631, 700
Delft, 2003, 2631, 663
Delft, 2006, 2408, 283
Delft, 2008, 2408, 255
Delft, 2010, 2408, 260
Delft, 2012, 2406, 229
Delft, 2015, 2406, 200
Delfzijl, 1996, 22747, 10713
Delfzijl, 2000, 22748, 10595
Delfzijl, 2003, 22748, 10362
Delfzijl, 2006, 22748, 10319
Delfzijl, 2008, 22748, 10260
Delfzijl, 2010, 22748, 10303
Delfzijl, 2012, 22750, 10347
Delfzijl, 2015, 22750, 10392
Deurne, 1996, 11795, 7641
Deurne, 2000, 11837, 7703
Deurne, 2003, 11837, 7660
Deurne, 2006, 11837, 7640
Deurne, 2008, 11837, 7618
Deurne, 2010, 11837, 7556
Deurne, 2012, 11836, 7515
Deurne, 2015, 11836, 7505
Deventer, 1996, 3686, 1547
Deventer, 2000, 10792, 6684
Deventer, 2003, 10792, 6658
Deventer, 2006, 13437, 8760
Deventer, 2008, 13437, 8733
Deventer, 2010, 13432, 8699
Deventer, 2012, 13433, 8565
Deventer, 2015, 13433, 8474
Diemen, 1996, 1425, 344
Diemen, 2000, 1403, 250
Diemen, 2003, 1403, 223
Diemen, 2006, 1403, 215
Diemen, 2008, 1403, 215
Diemen, 2010, 1403, 212
Diemen, 2012, 1404, 226
Diemen, 2015, 1404, 212
Dinkelland, 1996, NaN, NaN
Dinkelland, 2000, NaN, NaN
Dinkelland, 2003, 17681, 14368
Dinkelland, 2006, 17681, 14372
Dinkelland, 2008, 17681, 14338
Dinkelland, 2010, 17681, 14295
Dinkelland, 2012, 17683, 14280
Dinkelland, 2015, 17683, 14268
Doesburg, 1996, 1290, 767
Doesburg, 2000, 1290, 764
Doesburg, 2003, 1290, 749
Doesburg, 2006, 1290, 755
Doesburg, 2008, 1290, 756
Doesburg, 2010, 1290, 755
Doesburg, 2012, 1296, 737
Doesburg, 2015, 1296, 737
Doetinchem, 1996, 5277, 3027
Doetinchem, 2000, 5277, 2940
Doetinchem, 2003, 5277, 2930
Doetinchem, 2006, 7967, 5099
Doetinchem, 2008, 7967, 5089
Doetinchem, 2010, 7967, 5074
Doetinchem, 2012, 7966, 5009
Doetinchem, 2015, 7966, 4968
Dongen, 1996, 2472, 1642
Dongen, 2000, 2972, 2079
Dongen, 2003, 2972, 2067
Dongen, 2006, 2972, 2050
Dongen, 2008, 2972, 2042
Dongen, 2010, 2972, 2025
Dongen, 2012, 2972, 2022
Dongen, 2015, 2974, 2013
Dongeradeel, 1996, 26694, 14341
Dongeradeel, 2000, 26694, 14142
Dongeradeel, 2003, 26694, 14096
Dongeradeel, 2006, 26694, 14072
Dongeradeel, 2008, 26694, 14022
Dongeradeel, 2010, 26694, 14005
Dongeradeel, 2012, 26692, 13985
Dongeradeel, 2015, 26692, 14011
Dordrecht, 1996, 9945, 3563
Dordrecht, 2000, 9945, 3342
Dordrecht, 2003, 9945, 3105
Dordrecht, 2006, 9945, 3046
Dordrecht, 2008, 9945, 3062
Dordrecht, 2010, 9945, 2984
Dordrecht, 2012, 9947, 2789
Dordrecht, 2015, 9947, 2785
Drechterland, 1996, 2408, 2097
Drechterland, 2000, 2407, 2089
Drechterland, 2003, 2408, 2059
Drechterland, 2006, 8072, 5212
Drechterland, 2008, 8072, 5154
Drechterland, 2010, 8072, 5135
Drechterland, 2012, 8074, 5090
Drechterland, 2015, 8059, 5082
Drimmelen, 1996, NaN, NaN
Drimmelen, 2000, 11920, 7216
Drimmelen, 2003, 11920, 7026
Drimmelen, 2006, 11920, 7035
Drimmelen, 2008, 11937, 7036
Drimmelen, 2010, 11937, 6765
Drimmelen, 2012, 11943, 6839
Drimmelen, 2015, 11943, 6747
Dronten, 1996, 42386, 27088
Dronten, 2000, 42386, 26945
Dronten, 2003, 42386, 26789
Dronten, 2006, 42386, 26717
Dronten, 2008, 42386, 26485
Dronten, 2010, 42386, 26477
Dronten, 2012, 42389, 26583
Dronten, 2015, 42389, 26451
Druten, 1996, 4243, 2897
Druten, 2000, 4243, 2861
